"","armortype","ENPC","SD","Run","flexible","Delay","Scenario","group","bin","M","EE","uncert","designcost","armor2per","armor3per","LSCOOption","CRLCOOption","MESCDOption","TotalProb","Armor","TENPC","select"
"24",4,5.64631373306073,1.88483979082763,609,1,12,"12 Month",500,4,10000,0.25,1,1,0,0.3,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"25",4,5.64631373306073,1.88483979082763,5,0,0,"Uncertainty",20,5,10000,0.25,1,1,0,0.4,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"26",3,5.59252736711192,2.71752946665587,126,1,0,"Flexibility",503,5,10000,0.25,1,1,0,0.4,0.333333333333333,0.333333333333333,0.333333333333333,1,"Advanced",5592.52736711192,"min"
"27",2,5.62710724860374,3.14277802146558,247,1,3,"3 Month",18,5,10000,0.25,1,1,0,0.4,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5627.10724860374,"min"
"28",2,5.640297323193,3.15793971328069,368,1,6,"6 Month",502,5,10000,0.25,1,1,0,0.4,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5640.297323193,"min"
"29",4,5.64631373306073,1.88483979082763,489,1,9,"9 Month",20,5,10000,0.25,1,1,0,0.4,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"30",4,5.64631373306073,1.88483979082763,610,1,12,"12 Month",504,5,10000,0.25,1,1,0,0.4,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"31",4,5.64631373306073,1.88483979082763,6,0,0,"Uncertainty",24,6,10000,0.25,1,1,0,0.5,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"32",3,5.61047941781279,2.70900410570778,127,1,0,"Flexibility",507,6,10000,0.25,1,1,0,0.5,0.333333333333333,0.333333333333333,0.333333333333333,1,"Advanced",5610.47941781279,"min"
"33",2,5.62710724860374,3.14277802146558,248,1,3,"3 Month",22,6,10000,0.25,1,1,0,0.5,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5627.10724860374,"min"
"34",2,5.640297323193,3.15793971328069,369,1,6,"6 Month",506,6,10000,0.25,1,1,0,0.5,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5640.297323193,"min"
"35",4,5.64631373306073,1.88483979082763,490,1,9,"9 Month",24,6,10000,0.25,1,1,0,0.5,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"36",4,5.64631373306073,1.88483979082763,611,1,12,"12 Month",508,6,10000,0.25,1,1,0,0.5,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"37",4,5.64631373306073,1.88483979082763,7,0,0,"Uncertainty",28,7,10000,0.25,1,1,0,0.6,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"38",2,5.61185670995372,3.12081512539301,128,1,0,"Flexibility",510,7,10000,0.25,1,1,0,0.6,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5611.85670995372,"min"
"39",2,5.62710724860374,3.14277802146558,249,1,3,"3 Month",26,7,10000,0.25,1,1,0,0.6,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5627.10724860374,"min"
"40",2,5.640297323193,3.15793971328069,370,1,6,"6 Month",510,7,10000,0.25,1,1,0,0.6,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5640.297323193,"min"
"41",4,5.64631373306073,1.88483979082763,491,1,9,"9 Month",28,7,10000,0.25,1,1,0,0.6,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"42",4,5.64631373306073,1.88483979082763,612,1,12,"12 Month",512,7,10000,0.25,1,1,0,0.6,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"43",4,5.64631373306073,1.88483979082763,8,0,0,"Uncertainty",32,8,10000,0.25,1,1,0,0.7,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"44",2,5.61185670995372,3.12081512539301,129,1,0,"Flexibility",514,8,10000,0.25,1,1,0,0.7,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5611.85670995372,"min"
"45",2,5.62710724860374,3.14277802146558,250,1,3,"3 Month",30,8,10000,0.25,1,1,0,0.7,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5627.10724860374,"min"
"46",2,5.640297323193,3.15793971328069,371,1,6,"6 Month",514,8,10000,0.25,1,1,0,0.7,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5640.297323193,"min"
"47",4,5.64631373306073,1.88483979082763,492,1,9,"9 Month",32,8,10000,0.25,1,1,0,0.7,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"48",4,5.64631373306073,1.88483979082763,613,1,12,"12 Month",516,8,10000,0.25,1,1,0,0.7,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
