"","armortype","ENPC","SD","Run","flexible","Delay","Scenario","group","bin","M","EE","uncert","designcost","armor2per","armor3per","LSCOOption","CRLCOOption","MESCDOption","TotalProb","Armor","LSCOOptionText","CRLCOOptionText","MESCDOptionText","TENPC"
"103",3,5.63905360598107,2.29847344189818,26,0,0,"Uncertainty",103,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advanced","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5639.05360598107
"104",4,5.49506056929071,1.64670475452018,26,0,0,"Uncertainty",104,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robust","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5495.06056929071
"105",1,5.47064601919443,2.98057216268059,27,0,0,"Uncertainty",105,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5470.64601919443
"106",2,5.43390666968103,2.78832465620408,27,0,0,"Uncertainty",106,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simple","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5433.90666968103
"107",3,5.73921355126336,2.37950004721665,27,0,0,"Uncertainty",107,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advanced","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5739.21355126336
"108",4,5.54291038992722,1.70669292910083,27,0,0,"Uncertainty",108,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robust","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5542.91038992722
"109",1,5.61897855248134,3.05701613881879,28,0,0,"Uncertainty",109,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5618.97855248134
"110",2,5.55233859660012,2.84503118052477,28,0,0,"Uncertainty",110,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simple","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5552.33859660012
"111",3,5.84159771531607,2.4651009241987,28,0,0,"Uncertainty",111,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advanced","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5841.59771531607
"112",4,5.60142324269664,1.78170732971122,28,0,0,"Uncertainty",112,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robust","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5601.42324269664
"113",1,5.91379683829106,3.18396604181226,29,0,0,"Uncertainty",113,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5913.79683829106
"114",2,5.81528988011395,2.9882616377665,29,0,0,"Uncertainty",114,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simple","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5815.28988011395
"115",3,6.0269971863372,2.5725218870121,29,0,0,"Uncertainty",115,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advanced","LSCO =  NA","CRLCO =  NA","MESCD =  NA",6026.9971863372
"116",4,5.69549898368666,1.88019895427258,29,0,0,"Uncertainty",116,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robust","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5695.49898368666
"117",1,5.13328695256787,2.99120528936816,30,0,0,"Uncertainty",117,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5133.28695256787
"118",2,5.13419453064375,2.75003399293364,30,0,0,"Uncertainty",118,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simple","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5134.19453064375
"119",3,5.51363419195305,2.28905000971027,30,0,0,"Uncertainty",119,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advanced","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5513.63419195305
"120",4,5.43008858381986,1.60987662942555,30,0,0,"Uncertainty",120,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robust","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5430.08858381986
"121",1,5.28289614133927,3.0726880517835,31,0,0,"Uncertainty",121,31,10000,0.25,1,1,0.25,0.5,0,0.2,0.8,1,"Standard","LSCO =  0","CRLCO =  0.2","MESCD =  0.8",5282.89614133927
"122",2,5.26138696571586,2.82787309950767,31,0,0,"Uncertainty",122,31,10000,0.25,1,1,0.25,0.5,0,0.2,0.8,1,"Simple","LSCO =  0","CRLCO =  0.2","MESCD =  0.8",5261.38696571586
"123",3,5.60618205359811,2.37134529170262,31,0,0,"Uncertainty",123,31,10000,0.25,1,1,0.25,0.5,0,0.2,0.8,1,"Advanced","LSCO =  0","CRLCO =  0.2","MESCD =  0.8",5606.18205359811
