"","armortype","ENPC","SD","Run","flexible","Delay","Scenario","group","bin","M","EE","uncert","designcost","armor2per","armor3per","LSCOOption","CRLCOOption","MESCDOption","TotalProb","Armor","LSCOOptionText","CRLCOOptionText","MESCDOptionText","TENPC","select","tag"
"45",2,4.76472598937442,2.24418157414515,132,1,3,"3 Month Delay",30,8,100,0.25,1,1,0.25,0.5,0,0.7,0.3,1,"Simple","LSCO =  0","CRLCO =  0.7","MESCD =  0.3",4764.72598937442,"min","LSCO =  0   CRLCO =  0.7   MESCD =  0.3"
"46",2,4.76447680321919,2.24413761936296,194,1,6,"6 Month Delay",30,8,100,0.25,1,1,0.25,0.5,0,0.7,0.3,1,"Simple","LSCO =  0","CRLCO =  0.7","MESCD =  0.3",4764.47680321919,"min","LSCO =  0   CRLCO =  0.7   MESCD =  0.3"
"47",2,4.7642289207258,2.24409390801544,256,1,9,"9 Month Delay",30,8,100,0.25,1,1,0.25,0.5,0,0.7,0.3,1,"Simple","LSCO =  0","CRLCO =  0.7","MESCD =  0.3",4764.2289207258,"min","LSCO =  0   CRLCO =  0.7   MESCD =  0.3"
"48",2,4.7639823350739,2.24405043868913,318,1,12,"12 Month Delay",30,8,100,0.25,1,1,0.25,0.5,0,0.7,0.3,1,"Simple","LSCO =  0","CRLCO =  0.7","MESCD =  0.3",4763.9823350739,"min","LSCO =  0   CRLCO =  0.7   MESCD =  0.3"
"49",1,4.87014651211352,2.13338316603004,9,0,0,"Uncertainty",33,9,100,0.25,1,1,0.25,0.5,0,0.8,0.2,1,"Standard","LSCO =  0","CRLCO =  0.8","MESCD =  0.2",4870.14651211352,"min","LSCO =  0   CRLCO =  0.8   MESCD =  0.2"
"50",1,4.87014651211352,2.13338316603004,71,1,0,"Flexibility",33,9,100,0.25,1,1,0.25,0.5,0,0.8,0.2,1,"Standard","LSCO =  0","CRLCO =  0.8","MESCD =  0.2",4870.14651211352,"min","LSCO =  0   CRLCO =  0.8   MESCD =  0.2"
"51",1,4.87014651211352,2.13338316603004,133,1,3,"3 Month Delay",33,9,100,0.25,1,1,0.25,0.5,0,0.8,0.2,1,"Standard","LSCO =  0","CRLCO =  0.8","MESCD =  0.2",4870.14651211352,"min","LSCO =  0   CRLCO =  0.8   MESCD =  0.2"
"52",1,4.87014651211352,2.13338316603004,195,1,6,"6 Month Delay",33,9,100,0.25,1,1,0.25,0.5,0,0.8,0.2,1,"Standard","LSCO =  0","CRLCO =  0.8","MESCD =  0.2",4870.14651211352,"min","LSCO =  0   CRLCO =  0.8   MESCD =  0.2"
"53",1,4.87014651211352,2.13338316603004,257,1,9,"9 Month Delay",33,9,100,0.25,1,1,0.25,0.5,0,0.8,0.2,1,"Standard","LSCO =  0","CRLCO =  0.8","MESCD =  0.2",4870.14651211352,"min","LSCO =  0   CRLCO =  0.8   MESCD =  0.2"
"54",1,4.87014651211352,2.13338316603004,319,1,12,"12 Month Delay",33,9,100,0.25,1,1,0.25,0.5,0,0.8,0.2,1,"Standard","LSCO =  0","CRLCO =  0.8","MESCD =  0.2",4870.14651211352,"min","LSCO =  0   CRLCO =  0.8   MESCD =  0.2"
